City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Qena,EG,91.4,clear sky,26.16,32.72,"Grand hotel ""Quena"""
296,Tutoia,BR,78.94,broken clouds,-2.76,-42.27,Pousada Guará's
298,Hirara,JP,83.39,heavy intensity rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
299,Ponta Delgada,PT,73.4,broken clouds,37.73,-25.67,Vila Nova Hotel
301,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
302,Katsuura,JP,82.0,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
303,Barmer,IN,85.64,overcast clouds,25.75,71.38,OYO 71911 Hotel Amber Palace
304,Fez,MA,84.2,clear sky,34.04,-5.0,Hotel Mounia Fès
305,La Libertad,EC,75.2,few clouds,-2.23,-80.9,Playa Canela Hotel Boutique
306,Maun,BW,77.0,clear sky,-19.98,23.42,Enviro Villa
310,Sakakah,SA,93.2,few clouds,29.97,40.21,Fakhamat Al Orjoana Apartment
312,Los Llanos De Aridane,ES,75.2,overcast clouds,28.66,-17.92,Valle Aridane
316,Laguna,US,89.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
320,Dhidhdhoo,MV,81.46,light rain,6.88,73.1,Dhidhoo beach
323,Belmonte,BR,73.4,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
324,Kiunga,PG,74.39,light rain,-6.12,141.29,Airport Lodge Kiunga
326,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
334,Sidhpura,IN,81.95,few clouds,27.63,78.88,Taj Hotel
339,Seydi,TM,76.33,clear sky,39.48,62.91,Çagalar Dünýäsi
341,Astoria,US,80.01,clear sky,46.19,-123.83,Best Western Astoria Bayfront Hotel
342,Kudahuvadhoo,MV,82.17,light rain,2.67,72.89,Kudahuvadhoo Retreat
344,Cabatuan,PH,75.92,overcast clouds,10.88,122.49,Tobias Hime
346,Mayo,US,89.6,clear sky,38.89,-76.51,Resorts Resource Group International
349,Dumai,ID,74.21,broken clouds,1.68,101.45,Grand Zuri Dumai
350,Axim,GH,75.42,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
351,Raichur,IN,76.66,light rain,16.2,77.37,Hotel CM Residency
352,Mulege,MX,94.46,clear sky,26.88,-111.98,Casa Granada
358,Benghazi,LY,79.09,clear sky,32.12,20.07,Tibesti Hotel
359,Gazojak,TM,74.82,clear sky,41.19,61.4,
361,Praia,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
362,Coahuayana,MX,82.4,broken clouds,18.73,-103.68,Hotel Los Arcos
366,Sabang,ID,83.17,overcast clouds,5.89,95.32,Hotel Citra
367,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
371,Tura,IN,74.93,broken clouds,25.52,90.22,Hotel RIKMAN Continental
372,Crystal Beach,CA,81.0,broken clouds,42.87,-79.06,Yellow Door Bed and Breakfast
375,Mandan,US,73.4,broken clouds,46.83,-100.89,Twin City Estates
376,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
379,Port Blair,IN,81.99,few clouds,11.67,92.75,Fortune Resort Bay Island
380,Divnomorskoye,RU,75.65,scattered clouds,44.5,38.14,Primorskiy
382,Columbus,US,84.0,scattered clouds,39.96,-83.0,DoubleTree Suites by Hilton Hotel Columbus Downtown
383,Guerrero Negro,MX,82.54,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
389,Laksar,IN,79.11,overcast clouds,29.77,78.05,Hotel City Park
390,Kharan,PK,80.92,clear sky,28.58,65.42,Ghani Hasrat House
391,Kralendijk,BQ,86.0,scattered clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
393,Saint-Georges,GD,82.4,broken clouds,12.06,-61.75,Siesta Hotel
395,Cassilandia,BR,89.83,clear sky,-19.11,-51.73,Hotel Rafa Cassilândia
401,Okitipupa,NG,73.56,overcast clouds,6.5,4.78,Coastal Hotel & Suites
402,Tahta,EG,89.6,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
403,Clarksdale,US,87.8,light rain,34.2,-90.57,Americas Best Value Inn & Suites
404,Neiafu,TO,75.2,broken clouds,-18.65,-173.98,Mystic Sands
408,Bhuj,IN,80.82,overcast clouds,23.27,69.67,Regenta Resort Bhuj
410,Grand-Santi,GF,86.25,broken clouds,4.25,-54.38,Hotel La Villa Couacou
412,Port Moresby,PG,75.25,broken clouds,-9.44,147.18,Lamana Hotel
413,Gazli,UZ,74.44,clear sky,40.13,63.45,
414,Pau Dos Ferros,BR,85.19,scattered clouds,-6.11,-38.21,Hertz Center Hotel
416,Tabas,IR,80.6,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
419,Atar,MR,96.62,clear sky,20.52,-13.05,Oumou Elghoura
420,Valera,VE,78.85,moderate rain,9.32,-70.6,Posada Turistica Mi Trujillana
428,Kieta,PG,81.68,broken clouds,-6.22,155.63,
430,Bandarbeyla,SO,76.08,broken clouds,9.49,50.81,REER XOOSHLE GROUP
433,Yaounde,CM,75.2,thunderstorm,3.87,11.52,Hotel Mérina
434,Manga,BF,75.81,overcast clouds,11.66,-1.07,Auberge Somkieta
436,Point Pleasant,US,82.4,clear sky,40.08,-74.07,Point Pleasant Manor
442,Villa De Cura,VE,78.33,light rain,10.04,-67.49,Ceymir Spa
445,Praya,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
446,Liberal,US,82.4,clear sky,37.04,-100.92,Hampton Inn & Suites Liberal
448,Camocim,BR,80.73,clear sky,-2.9,-40.84,Hotel Ilha do Amor
451,Meadow Lake,US,93.2,clear sky,34.8,-106.54,JKL Inc. R.V Park and Storage
453,Menongue,AO,73.31,scattered clouds,-14.66,17.69,Ritz Lauca
458,Dubreka,GN,75.97,overcast clouds,9.79,-13.52,Hôtel le Semeur Chez Eva
462,Dar Es Salaam,TZ,73.4,few clouds,-6.82,39.27,Holiday Inn Dar Es Salaam
463,Redmond,US,82.99,clear sky,47.67,-122.12,Seattle Marriott Redmond
464,Samarai,PG,78.06,broken clouds,-10.62,150.67,Nuli Sapi
467,Vila Franca Do Campo,PT,73.4,broken clouds,37.72,-25.43,Pestana Bahia Praia
472,Savannah Bight,HN,84.2,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
473,Mardin,TR,81.28,clear sky,37.31,40.74,Reyhani Kasri Hotel
476,Araouane,ML,97.18,few clouds,18.9,-3.53,
477,Canning,IN,84.2,haze,22.32,88.67,Prabir sanfui
480,Raton,US,84.2,clear sky,36.9,-104.44,Holiday Inn Express & Suites Raton
481,Southbridge,US,80.01,scattered clouds,42.08,-72.03,Southbridge Hotel & Conference Center
483,Pokrovskoye,RU,79.39,broken clouds,47.42,38.9,
484,Nouakchott,MR,86.0,clear sky,18.09,-15.98,Hôtel Iman
486,Condega,NI,80.6,scattered clouds,13.37,-86.4,Divino Niño Jesus de Praga
489,Kalmunai,LK,80.1,overcast clouds,7.42,81.82,VS Villa
490,Abu Samrah,SY,88.56,clear sky,35.3,37.18,
491,Aloleng,PH,80.96,broken clouds,16.13,119.78,Agno Umbrella Rocks
492,Conneaut,US,82.0,clear sky,41.95,-80.55,Mobile Grove Park
493,Anton Lizardo,MX,87.01,broken clouds,19.05,-95.98,Hotel CocoAventura
494,Maragogi,BR,73.89,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
495,Estreito,BR,85.66,scattered clouds,-5.78,-43.25,
502,Nanakuli,US,86.0,clear sky,21.39,-158.15,Camp Palehua
503,Jibuti,DJ,93.2,few clouds,11.5,42.5,Orchid Main Camp Goubet
504,Hamilton,US,84.99,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
505,Gamba,GA,74.41,overcast clouds,-2.65,10.0,
507,Buraydah,SA,93.2,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
510,Ixtapa,MX,90.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
512,Adiake,CI,77.0,scattered clouds,5.29,-3.3,Hotel Lagune
513,Palmer,US,81.0,broken clouds,42.16,-72.33,Wedgewood Motel
519,Barahona,DO,89.6,broken clouds,18.21,-71.1,Hotel Caribe
520,Pontianak,ID,75.15,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
523,Gidam,IN,73.27,overcast clouds,18.98,81.4,Dhanshree Lodge And DormItory
524,Comillas,PH,76.14,overcast clouds,15.4,120.7,Morales Resort
525,Kisanga,TZ,73.62,scattered clouds,-7.44,37.7,
526,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
