City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Amazar,RU,53.86,120.88,50.52,78,100,5.82,overcast clouds
109,Puerto Carreno,CO,6.19,-67.49,89.6,52,40,4.7,thunderstorm
110,Boa Vista,BR,2.82,-60.67,87.8,58,75,5.82,broken clouds
111,Ponta Do Sol,PT,32.67,-17.1,73.4,64,75,12.75,broken clouds
112,Russell,US,32.35,-85.2,95.0,39,1,9.17,clear sky
113,Iralaya,HN,15.0,-83.23,84.2,79,75,4.7,broken clouds
114,Lakes Entrance,AU,-37.88,147.98,43.0,83,0,8.14,clear sky
115,Aksarka,RU,66.56,67.8,41.79,89,5,12.3,clear sky
116,Zhezkazgan,KZ,47.8,67.71,55.96,57,0,12.84,clear sky
117,Akhmim,EG,26.56,31.75,89.6,31,0,9.17,clear sky
118,Devils Lake,US,48.11,-98.87,62.6,42,1,25.28,clear sky
119,Bud,US,39.45,-86.18,84.99,60,99,11.88,overcast clouds
120,Itoman,JP,26.12,127.67,80.6,88,40,5.82,scattered clouds
121,Bandar,ID,2.05,99.75,73.15,94,96,2.55,moderate rain
122,Hobart,AU,-42.88,147.33,48.2,61,40,9.17,scattered clouds
123,Tiksi,RU,71.69,128.87,41.32,84,8,7.29,clear sky
124,Vieques,PR,18.43,-65.83,84.2,74,40,5.82,thunderstorm
125,Kulachi,PK,31.93,70.46,91.06,51,1,3.31,clear sky
126,Torbay,CA,47.67,-52.73,66.2,68,75,20.8,broken clouds
127,Colon,PA,9.36,-79.9,86.0,70,76,7.0,moderate rain
128,Ejura,GH,7.39,-1.36,73.36,90,14,4.65,few clouds
129,Abapo,BO,-18.83,-63.47,81.36,28,87,9.19,overcast clouds
130,Chuy,UY,-33.7,-53.46,53.02,83,89,5.3,overcast clouds
131,Kamenka,RU,51.32,42.77,56.53,48,0,11.39,clear sky
132,Cayenne,GF,4.93,-52.33,86.0,66,0,12.75,light rain
133,Gambela,ET,8.25,34.58,71.6,84,100,2.21,overcast clouds
134,Mandalgovi,MN,45.76,106.27,52.3,62,0,11.9,clear sky
135,Filingue,NE,14.35,3.32,86.86,55,61,9.31,broken clouds
136,Suez,EG,29.97,32.53,79.29,79,0,12.66,clear sky
137,Provideniya,RU,64.38,-173.3,46.4,61,97,4.47,overcast clouds
138,Faanui,PF,-16.48,-151.75,78.1,76,17,17.83,few clouds
139,Port Elizabeth,ZA,-33.92,25.57,60.8,87,33,6.93,scattered clouds
140,Wharton,US,29.31,-96.1,93.2,41,75,5.82,broken clouds
141,Union,US,40.63,-74.27,86.0,45,90,4.7,overcast clouds
142,Chumikan,RU,54.72,135.31,52.66,93,100,26.53,light rain
143,Nuuk,GL,64.18,-51.72,48.2,45,75,2.24,broken clouds
144,Longonjo,AO,-12.91,15.25,66.09,61,77,2.53,broken clouds
145,Saint George,US,37.1,-113.58,102.99,8,1,4.7,clear sky
146,Auki,SB,-8.77,160.7,81.32,78,96,6.17,light rain
147,Merauke,ID,-8.47,140.33,77.65,83,99,16.11,overcast clouds
148,East London,ZA,-33.02,27.91,63.45,52,0,7.83,clear sky
149,Jardim,BR,-21.48,-56.14,83.57,44,10,5.17,clear sky
150,Wasilla,US,61.58,-149.44,53.01,76,90,6.93,light rain
151,Kendari,ID,-3.94,122.5,73.2,93,38,4.12,scattered clouds
152,Maniitsoq,GL,65.42,-52.9,47.86,53,100,9.15,overcast clouds
153,Bay Roberts,CA,47.6,-53.26,64.0,78,4,5.99,clear sky
154,Kodiak,US,57.79,-152.41,51.22,72,76,1.28,light rain
155,Aquiraz,BR,-3.9,-38.39,82.4,61,90,16.11,overcast clouds
156,Esperance,AU,-33.87,121.9,48.2,93,28,10.29,scattered clouds
157,Arcachon,FR,44.59,-1.05,69.8,77,0,6.93,clear sky
158,Odweyne,SO,9.41,45.06,80.83,45,59,16.06,light rain
159,Atambua,ID,-9.11,124.89,68.92,81,28,3.83,scattered clouds
160,Half Moon Bay,US,37.46,-122.43,73.99,82,75,13.87,haze
161,Beyneu,KZ,45.32,55.2,72.68,32,0,8.03,clear sky
162,Aswan,EG,24.09,32.91,87.94,12,0,10.45,clear sky
163,Odesskoye,RU,54.21,72.97,43.9,85,0,11.16,clear sky
164,Faya,SA,18.39,42.45,73.4,28,0,8.05,clear sky
165,Simao,CN,22.79,100.97,67.19,84,62,2.04,broken clouds
166,Moose Factory,CA,51.26,-80.61,59.0,93,90,16.11,overcast clouds
167,Kollam,IN,8.88,76.6,82.4,83,40,1.12,mist
168,Bilma,NE,18.69,12.92,91.08,41,71,15.35,broken clouds
169,Amahai,ID,-3.33,128.92,76.57,87,80,2.3,light rain
170,Pacific Grove,US,36.62,-121.92,66.2,68,40,11.41,scattered clouds
171,Ngunguru,NZ,-35.62,174.5,52.0,3,17,4.0,few clouds
172,Chokurdakh,RU,70.63,147.92,39.43,73,72,6.98,broken clouds
173,Souillac,MU,-20.52,57.52,66.2,72,20,9.17,few clouds
174,Kavaratti,IN,10.57,72.64,82.0,78,100,9.98,overcast clouds
175,Tasiilaq,GL,65.61,-37.64,41.0,75,0,10.29,clear sky
176,Lompoc,US,34.64,-120.46,68.0,72,1,17.22,clear sky
177,Mabaruma,GY,8.2,-59.78,79.29,94,100,1.16,moderate rain
178,Lufkin,US,31.34,-94.73,82.4,65,20,2.95,few clouds
179,Mahon,ES,39.89,4.27,71.6,64,20,3.36,few clouds
180,Kloulklubed,PW,7.04,134.26,84.24,70,100,6.89,overcast clouds
181,Bathsheba,BB,13.22,-59.52,80.6,83,75,10.29,light rain
182,Sur,OM,22.57,59.53,83.57,50,98,5.95,overcast clouds
183,Pisco,PE,-13.7,-76.22,64.4,72,44,19.46,scattered clouds
184,Peace River,CA,56.25,-117.29,64.4,48,75,17.22,broken clouds
185,Caravelas,BR,-17.71,-39.25,72.16,81,65,5.99,broken clouds
186,Gornopravdinsk,RU,60.05,69.9,45.97,91,100,11.41,overcast clouds
187,Oka,CA,45.46,-74.09,75.0,53,75,8.05,broken clouds
188,Tuktoyaktuk,CA,69.45,-133.04,51.8,71,75,14.99,broken clouds
189,Herne Bay,GB,51.37,1.13,66.0,92,100,4.0,overcast clouds
