City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Hami,CN,2020-08-31 00:52:21,42.8,93.45,71.91,22,0,11.88
99,Muana,BR,2020-08-31 00:52:21,-1.53,-49.22,78.46,80,0,5.14
100,Kahului,US,2020-08-31 00:52:21,20.89,-156.47,91.4,38,40,27.51
101,Dmitriyevka,RU,2020-08-31 00:52:22,54.75,55.33,53.6,93,100,6.71
102,Nerchinsk,RU,2020-08-31 00:52:22,51.98,116.58,56.41,85,96,4.52
103,Araripe,BR,2020-08-31 00:52:22,-7.21,-40.05,73.71,59,68,14.18
104,Saldanha,ZA,2020-08-31 00:52:23,-33.01,17.94,41.0,80,0,5.23
105,Kaitangata,NZ,2020-08-31 00:52:23,-46.28,169.85,61.05,48,100,15.1
106,Witu,KE,2020-08-31 00:52:23,-2.39,40.44,73.62,84,92,7.83
107,New Norfolk,AU,2020-08-31 00:52:24,-42.78,147.06,51.01,64,93,3.0
108,Cururupu,BR,2020-08-31 00:52:24,-1.83,-44.87,77.07,85,0,5.28
109,Vila Velha,BR,2020-08-31 00:47:59,-20.33,-40.29,77.0,88,0,9.17
110,Longyearbyen,SJ,2020-08-31 00:50:24,78.22,15.64,37.4,89,75,4.7
111,Bluff,NZ,2020-08-31 00:52:24,-46.6,168.33,58.26,60,0,25.01
112,Codrington,AU,2020-08-31 00:52:25,-38.27,141.97,51.82,63,35,9.93
113,Nikolskoye,RU,2020-08-31 00:52:25,59.7,30.79,57.99,93,100,2.24
114,Belmonte,BR,2020-08-31 00:52:25,-15.86,-38.88,73.4,83,0,4.7
115,Isangel,VU,2020-08-31 00:52:26,-19.55,169.27,75.2,73,90,11.41
116,Pirapora,BR,2020-08-31 00:52:26,-17.34,-44.94,70.59,44,37,2.24
117,Nemuro,JP,2020-08-31 00:52:26,43.32,145.57,57.2,82,75,8.05
118,Ambilobe,MG,2020-08-31 00:52:27,-13.2,49.05,65.7,87,7,4.47
119,Kangalassy,RU,2020-08-31 00:52:27,62.35,129.96,57.2,82,40,4.47
120,Faanui,PF,2020-08-31 00:52:27,-16.48,-151.75,77.2,76,7,20.22
121,Kawalu,ID,2020-08-31 00:52:28,-7.38,108.21,72.54,85,100,2.64
122,Bereda,ES,2020-08-31 00:52:28,43.27,-7.54,50.0,100,69,1.99
123,Labrea,BR,2020-08-31 00:52:28,-7.26,-64.8,83.79,51,100,3.02
124,Mayo,US,2020-08-31 00:52:28,38.89,-76.51,78.8,57,75,7.4
125,Chumikan,RU,2020-08-31 00:52:29,54.72,135.31,58.26,61,100,2.48
126,Kommunisticheskiy,RU,2020-08-31 00:52:29,61.68,64.48,52.97,98,97,5.75
127,Klyuchi,RU,2020-08-31 00:52:29,52.27,79.17,60.6,76,0,3.56
128,Ilulissat,GL,2020-08-31 00:52:30,69.22,-51.1,39.29,72,0,5.95
129,Kyaikkami,MM,2020-08-31 00:52:30,16.08,97.57,81.03,85,100,5.44
130,Touros,BR,2020-08-31 00:52:31,-5.2,-35.46,75.2,88,40,4.7
131,Evansville,US,2020-08-31 00:52:11,37.97,-87.56,75.2,69,1,6.24
132,Khatanga,RU,2020-08-31 00:48:44,71.97,102.5,47.89,78,8,8.01
133,Mount Isa,AU,2020-08-31 00:52:31,-20.73,139.5,82.4,23,0,12.75
134,Rio Cuarto,AR,2020-08-31 00:49:47,-33.13,-64.35,50.0,29,0,10.29
135,Necochea,AR,2020-08-31 00:52:32,-38.55,-58.74,41.0,50,0,9.86
136,Aksu,CN,2020-08-31 00:52:32,41.12,80.26,68.9,48,0,2.68
137,Lawigan,PH,2020-08-31 00:52:32,10.49,122.04,78.49,85,100,4.32
138,Cayhagan,PH,2020-08-31 00:52:33,9.67,122.43,84.36,73,81,9.28
139,Upernavik,GL,2020-08-31 00:52:33,72.79,-56.15,40.12,87,100,9.89
140,Gondanglegi,ID,2020-08-31 00:52:33,-7.75,112.01,79.02,64,92,14.03
141,San Patricio,MX,2020-08-31 00:52:33,19.22,-104.7,80.6,94,90,2.98
142,Kargasok,RU,2020-08-31 00:52:34,59.06,80.86,57.56,89,100,8.03
143,Narsaq,GL,2020-08-31 00:52:34,60.92,-46.05,46.4,70,100,5.82
144,Tabou,CI,2020-08-31 00:52:34,4.42,-7.35,75.42,83,73,9.86
145,Vyartsilya,RU,2020-08-31 00:52:35,62.18,30.69,49.3,88,100,6.49
146,Zhezkazgan,KZ,2020-08-31 00:52:35,47.8,67.71,64.89,41,0,11.25
147,Walvis Bay,NA,2020-08-31 00:52:35,-22.96,14.51,50.0,81,0,5.82
148,Verkhnyaya Inta,RU,2020-08-31 00:52:36,65.98,60.31,49.93,89,100,6.38
149,Maturin,VE,2020-08-31 00:52:36,9.75,-63.18,75.33,92,100,3.0
150,Ossora,RU,2020-08-31 00:52:36,59.24,163.07,59.2,49,57,16.6
151,Guasdualito,VE,2020-08-31 00:52:37,7.24,-70.73,75.49,87,100,2.89
152,Svetlogorsk,BY,2020-08-31 00:52:37,52.63,29.73,66.92,70,0,10.74
153,Ashqelon,IL,2020-08-31 00:52:38,31.67,34.57,82.4,78,20,3.36
154,Siniscola,IT,2020-08-31 00:52:38,40.57,9.69,68.0,72,40,10.29
155,Surt,LY,2020-08-31 00:52:38,31.21,16.59,76.44,82,0,8.23
156,Hanna,CA,2020-08-31 00:52:39,51.63,-111.9,62.01,33,0,7.0
157,Butaritari,KI,2020-08-31 00:52:39,3.07,172.79,83.3,71,0,11.03
158,Qaqortoq,GL,2020-08-31 00:52:39,60.72,-46.03,46.4,70,100,5.82
159,Lamar,US,2020-08-31 00:52:40,33.67,-95.58,87.8,70,1,6.93
160,Caraquet,CA,2020-08-31 00:52:40,47.79,-64.94,50.0,100,90,9.17
161,Ostrovnoy,RU,2020-08-31 00:52:40,68.05,39.51,44.65,87,0,8.55
162,Jalu,LY,2020-08-31 00:52:40,29.03,21.55,80.4,37,0,7.43
163,Castro,BR,2020-08-31 00:52:41,-24.79,-50.01,61.65,75,0,2.84
164,Vaini,TO,2020-08-31 00:52:41,-21.2,-175.2,78.8,83,75,14.99
165,Bengkulu,ID,2020-08-31 00:52:41,-3.8,102.27,80.4,74,100,2.71
166,Asaba,NG,2020-08-31 00:52:42,6.2,6.73,72.66,95,98,3.96
167,Mahebourg,MU,2020-08-31 00:52:42,-20.41,57.7,69.8,83,40,16.11
168,Sechura,PE,2020-08-31 00:52:42,-5.56,-80.82,63.7,79,17,14.85
169,Kastamonu,TR,2020-08-31 00:52:43,41.5,33.67,61.57,35,0,1.16
170,Dabakala,CI,2020-08-31 00:52:43,8.37,-4.43,70.74,92,100,8.21
171,La Ronge,CA,2020-08-31 00:52:43,55.1,-105.28,46.4,87,90,11.41
172,Nabire,ID,2020-08-31 00:52:44,-3.37,135.48,85.33,64,8,3.06
173,Richards Bay,ZA,2020-08-31 00:52:44,-28.78,32.04,57.04,75,100,8.41
174,Fortuna,US,2020-08-31 00:52:44,40.6,-124.16,66.99,55,1,16.11
175,Arraial Do Cabo,BR,2020-08-31 00:52:45,-22.97,-42.03,75.2,78,0,12.75
176,Altay,CN,2020-08-31 00:52:45,47.87,88.12,62.71,45,0,2.3
177,Pacific Grove,US,2020-08-31 00:52:45,36.62,-121.92,69.8,60,1,8.05
178,Severo-Kurilsk,RU,2020-08-31 00:52:46,50.68,156.12,52.66,78,10,15.93
179,Qasigiannguit,GL,2020-08-31 00:52:46,68.82,-51.19,33.12,90,0,0.89
180,Umm Kaddadah,SD,2020-08-31 00:52:46,13.6,26.69,81.91,51,100,8.88
181,Honningsvag,NO,2020-08-31 00:52:47,70.98,25.97,47.34,70,40,13.96
